Title,Author,ISBN,Genre,Description,CoverUrl,RentalPrice,Copies
"Five Children and It","Edith Nesbit",7533923405,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/28174-L.jpg,4.99,3
"The Emerald City of Oz","L. Frank Baum",0688115586,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/1473556-L.jpg,2.99,7
"Dorothy and the Wizard in Oz","L. Frank Baum",0665789637,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12648659-L.jpg,4.99,5
"Nineteen Eighty-Four","George Orwell",9787201106,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/9267242-L.jpg,7.99,1
"Baum's American Fairy Tales","L. Frank Baum",0486236439,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/709869-L.jpg,2.99,1
"Sky Island","L. Frank Baum",0665789645,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/2752804-L.jpg,4.99,3
"The Hobbit","J.R.R. Tolkien",0395362903,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14627509-L.jpg,2.99,3
"Glinda of Oz","L. Frank Baum",9780486410,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/758814-L.jpg,2.99,2
"The Magic City","Edith Nesbit",0333290631,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/1673063-L.jpg,1.99,3
"Le petit prince","Antoine de Saint-Exupéry",8459912019,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/10708272-L.jpg,5.99,1
"Harry Potter and the Philosopher's Stone","J.K. Rowling",9500419572,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/10521270-L.jpg,4.99,1
"The Fellowship of the Ring","J.R.R. Tolkien",4566020576,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14627060-L.jpg,4.99,2
"The Two Towers","J.R.R. Tolkien",9172632194,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14627564-L.jpg,3.99,1
"Harry Potter and the Chamber of Secrets","J.K. Rowling",9780738301,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8392798-L.jpg,9.99,19
"The Return of the King","J.R.R. Tolkien",9782266070,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14627062-L.jpg,2.99,2
"Harry Potter and the Prisoner of Azkaban","J. K. Rowling",9788989708,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/10580435-L.jpg,2.99,3
"Мастер и Маргарита","Михаил Афанасьевич Булгаков",9785998500,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12947486-L.jpg,1.99,2
"Harry Potter and the Goblet of Fire","J. K. Rowling",2070543587,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12059372-L.jpg,4.99,1
"The reluctant dragon","Kenneth Grahame",0744586380,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/6557137-L.jpg,3.99,1
"Charlie and the Chocolate Factory","Roald Dahl",4566014118,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12459564-L.jpg,2.99,3
"Cien años de soledad","Gabriel García Márquez",0140278761,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/12627383-L.jpg,7.99,1
"Wet Magic","Edith Nesbit",1587170558,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/854565-L.jpg,2.99,7
"The Magician's Nephew","C. S. Lewis",9789574558,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/1072931-L.jpg,1.99,7
"The Lion, the Witch and the Wardrobe","C. S. Lewis",0007162928,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/8441376-L.jpg,3.99,3
"Harry Potter and the Half-Blood Prince","J.K. Rowling",9780785933,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/10716273-L.jpg,7.99,1
"The Silmarillion","J.R.R. Tolkien",9789022571,"Fantasy","A book about fantasy.",https://covers.openlibrary.org/b/id/14627042-L.jpg,3.99,1
